Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/30/2026,"AMAZON MKTPL*BV4BK5T Amzn.com/bill WA        04/29",-43.55,DEBIT_CARD,5237.60,,
DEBIT,04/30/2026,"AMAZON MKTPL*BJ19H2L Amzn.com/bill WA        04/29",-42.07,DEBIT_CARD,5281.15,,
DEBIT,04/30/2026,"Amazon.com*BV6JW5JM2 Amzn.com/bill WA        04/29",-47.00,DEBIT_CARD,5323.22,,
CREDIT,04/30/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042926 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071750244806 EED:260430   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1200244806TC",922.18,ACH_CREDIT,5370.22,,
DSLIP,04/30/2026,"REMOTE ONLINE DEPOSIT #          1",275.00,CHECK_DEPOSIT,4448.04,1,
DSLIP,04/30/2026,"REMOTE ONLINE DEPOSIT #          1",292.87,CHECK_DEPOSIT,4173.04,1,
DSLIP,04/30/2026,"REMOTE ONLINE DEPOSIT #          1",298.32,CHECK_DEPOSIT,3880.17,1,
DSLIP,04/30/2026,"REMOTE ONLINE DEPOSIT #          1",499.74,CHECK_DEPOSIT,3581.85,1,
CHECK,04/29/2026,"CHECK 1533  ",-600.00,CHECK_PAID,3082.11,1533,
DEBIT,04/29/2026,"Zelle payment to Shlomo Perkal JPM99cez2ndo",-130.00,CHASE_TO_PARTNERFI,3682.11,,
DEBIT,04/29/2026,"Zelle payment to Mike JPM99cez2qdr",-90.00,CHASE_TO_PARTNERFI,3812.11,,
DEBIT,04/29/2026,"SP+AFF * ELYS CO. 855-423-3729 CA            04/29",-39.25,DEBIT_CARD,3902.11,,
DEBIT,04/29/2026,"AMAZON MKTPL*BJ98V64 Amzn.com/bill WA        04/29",-29.34,DEBIT_CARD,3941.36,,
DEBIT,04/29/2026,"ORIG CO NAME:UticaFirst             ORIG ID:1150476540 DESC DATE:260428 CO ENTRY DESCR:WEB PAY   SEC:WEB    TRACE#:022000045110291 EED:260429   IND ID:UticaFirst                   IND NAME:Major Appliance Servi                                                                                        8881234567 TRN: 1195110291TC",-192.14,ACH_DEBIT,3970.70,,
DEBIT,04/29/2026,"AMAZON MKTPL*BS0R08W Amzn.com/bill WA        04/28",-21.76,DEBIT_CARD,4162.84,,
DEBIT,04/29/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              04/27",-13.28,DEBIT_CARD,4184.60,,
CREDIT,04/29/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042826 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071757177895 EED:260429   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1197177895TC",2247.42,ACH_CREDIT,4197.88,,
CREDIT,04/29/2026,"ORIG CO NAME:PCRichard PMD          ORIG ID:7010532275 DESC DATE:260429 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:051000017382285 EED:260429   IND ID:2005579                      IND NAME:majorapplian.receivabl TRN: 1197382285TC",2695.90,MISC_CREDIT,1950.46,,
DEBIT,04/28/2026,"ORIG CO NAME:VZ WIRELESS VN         ORIG ID:0000751800 DESC DATE:260428 CO ENTRY DESCR:E CHECK   SEC:TEL    TRACE#:021000026476514 EED:260428   IND ID:0541561                      IND NAME:CHAIM *SHANET                                                                                                800-922-0204 TRN: 1186476514TC",-114.24,ACH_DEBIT,-745.44,,
DEBIT,04/28/2026,"ORIG CO NAME:MASSACHUSETTS MU       ORIG ID:E041590850 DESC DATE:260428 CO ENTRY DESCR:MMPAY     SEC:WEB    TRACE#:051400501398318 EED:260428   IND ID:301392674                    IND NAME:CHAIM  SHANET                                                                                                00000000000000000000 TRN: 1181398318TC",-56.99,ACH_DEBIT,-631.20,,
DEBIT,04/28/2026,"ORIG CO NAME:LIPA                   ORIG ID:1563585001 DESC DATE:260424 CO ENTRY DESCR:ONLINE PAYSEC:WEB    TRACE#:021000021651790 EED:260428   IND ID:0773401685                   IND NAME:GOLDA SHANET TRN: 1181651790TC",-400.00,ACH_DEBIT,-574.21,,
DEBIT,04/28/2026,"ORIG CO NAME:DISCOVER               ORIG ID:6510020270 DESC DATE:260427 CO ENTRY DESCR:PHONE PAY SEC:TEL    TRACE#:091000011270703 EED:260428   IND ID:6718                         IND NAME:SHANET PAUL                                                                                                  DC PYMNTS DCICMSIVR TRN: 1181270703TC",-1076.00,ACH_DEBIT,-174.21,,
DEBIT,04/28/2026,"THE NEXUS SCHOOL OF SCHOOL.THENEX NJ         04/28",-59.82,DEBIT_CARD,901.79,,
DEBIT,04/28/2026,"Online RealTime vendor payment  11216894030 Payment Id REFERENCE#: 8216894030RX  to  Avanti 6751",-750.00,ACH_PAYMENT,961.61,,
DEBIT,04/28/2026,"VINOTEMP.COM 800-777-8466 FL                 04/27",-43.95,DEBIT_CARD,1711.61,,
DEBIT,04/28/2026,"VINOTEMP.COM 800-777-8466 FL                 04/27",-20.95,DEBIT_CARD,1755.56,,
DEBIT,04/28/2026,"VINOTEMP.COM 800-777-8466 FL                 04/27",-20.95,DEBIT_CARD,1776.51,,
DEBIT,04/28/2026,"AMAZON MKTPL*BJ0KX7Y Amzn.com/bill WA        04/28",-29.13,DEBIT_CARD,1797.46,,
DEBIT,04/28/2026,"AMAZON MKTPL*BS1VI69 Amzn.com/bill WA        04/28",-118.98,DEBIT_CARD,1826.59,,
DEBIT,04/28/2026,"BINGO WHOLESALE FIVE TO INWOOD NY            04/26",-566.20,DEBIT_CARD,1945.57,,
DEBIT,04/28/2026,"BINGO WHOLESALE FIVE TO INWOOD NY            04/26",-319.05,DEBIT_CARD,2511.77,,
DSLIP,04/28/2026,"REMOTE ONLINE DEPOSIT #          1",117.18,CHECK_DEPOSIT,2830.82,1,
DSLIP,04/28/2026,"REMOTE ONLINE DEPOSIT #          1",117.18,CHECK_DEPOSIT,2713.64,1,
DSLIP,04/28/2026,"REMOTE ONLINE DEPOSIT #          1",132.14,CHECK_DEPOSIT,2596.46,1,
DSLIP,04/28/2026,"REMOTE ONLINE DEPOSIT #          1",132.14,CHECK_DEPOSIT,2464.32,1,
DEBIT,04/27/2026,"SUNOCO 0998194501 INWOOD NY          407884  04/27",-45.84,DEBIT_CARD,2332.18,,
DEBIT,04/27/2026,"Zelle payment to Shlomo Perkal JPM99cet2qmy",-130.00,CHASE_TO_PARTNERFI,2378.02,,
CHECK,04/27/2026,"CHECK 1372  ",-332.00,CHECK_PAID,2508.02,1372,
DEBIT,04/27/2026,"Zelle payment to Schweitzer 28987083553",-200.00,QUICKPAY_DEBIT,2840.02,,
DEBIT,04/27/2026,"ORIG CO NAME:ADP Tax                ORIG ID:1223006057 DESC DATE:260427 CO ENTRY DESCR:ADP Tax   SEC:CCD    TRACE#:021000021325038 EED:260427   IND ID:L9QM5 7870282VV              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       AA TRN: 1171325038TC",-1140.77,ACH_DEBIT,3040.02,,
DEBIT,04/27/2026,"Zelle payment to Schweitzer 28986524196",-400.00,QUICKPAY_DEBIT,4180.79,,
DEBIT,04/27/2026,"SP+AFF* KLADE CHILDREN AFFIRM.COM CA         04/27",-57.43,DEBIT_CARD,4580.79,,
DEBIT,04/27/2026,"Zelle payment to Zlata JPM99cer2oow",-100.00,CHASE_TO_PARTNERFI,4638.22,,
DEBIT,04/27/2026,"Zelle payment to Malka JPM99ceqvz5u",-317.00,CHASE_TO_PARTNERFI,4738.22,,
DEBIT,04/27/2026,"SP+AFF * YOUNG TIMERS 855-423-3729 CA        04/27",-40.24,DEBIT_CARD,5055.22,,
DEBIT,04/27/2026,"SP+AFF * APPARALEL 855-423-3729 CA           04/27",-38.52,DEBIT_CARD,5095.46,,
DEBIT,04/27/2026,"SP+AFF * YOUNG TIMERS 855-423-3729 CA        04/27",-117.22,DEBIT_CARD,5133.98,,
DEBIT,04/27/2026,"E-Z*PASSNY REBILL 800-333-8655 NY            04/27",-25.00,DEBIT_CARD,5251.20,,
DEBIT,04/27/2026,"SP+AFF * BLEW BOUTIQU 855-423-3729 CA        04/26",-31.51,DEBIT_CARD,5276.20,,
DEBIT,04/27/2026,"E-Z*PASSNY REBILL 800-333-8655 NY            04/26",-200.00,DEBIT_CARD,5307.71,,
DEBIT,04/27/2026,"BONEI OLAM VZAKEINI 718-252-1212 NY          04/24",-7.25,DEBIT_CARD,5507.71,,
DEBIT,04/27/2026,"AMAZON MKTPL*BJ3Q61M Amzn.com/bill WA        04/25",-86.28,DEBIT_CARD,5514.96,,
DEBIT,04/27/2026,"AMAZON MKTPL*BY29147 Amzn.com/bill WA        04/25",-28.45,DEBIT_CARD,5601.24,,
DEBIT,04/27/2026,"GOURMET GLATT - CEDARHU CEDARHURST NY        04/24",-135.43,DEBIT_CARD,5629.69,,
DEBIT,04/27/2026,"BASSLINE PRODUCTIONS L 732-7193311 NJ        04/24",-14.95,DEBIT_CARD,5765.12,,
DEBIT,04/27/2026,"EMBED SOCIAL PATRICH                         04/24",-29.00,DEBIT_CARD,5780.07,,
CREDIT,04/27/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042526 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071758485596 EED:260427   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1178485596TC",677.59,ACH_CREDIT,5809.07,,
CREDIT,04/27/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042426 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071756196304 EED:260427   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1176196304TC",3044.61,ACH_CREDIT,5131.48,,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",152.37,CHECK_DEPOSIT,2086.87,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,1934.50,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,1750.50,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,1566.50,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,1382.50,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,1198.50,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,992.73,1,
DSLIP,04/27/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,786.96,1,
CREDIT,04/27/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264008580_136289019 INFO: TEXT-RmtInf-5264008580 IID: 20260427021000021P1BRJPC04110002756 RECD: 06:03:44 TRN: 0040382117GD BREF: 0b9bff87d8991846",788.00,MISC_CREDIT,581.19,,
CHECK,04/24/2026,"CHECK 1542  ",-55.00,CHECK_PAID,-206.81,1542,
CHECK,04/24/2026,"CHECK 1543  ",-600.00,CHECK_PAID,-151.81,1543,
DEBIT,04/24/2026,"TRADER JOE S #55 1280 HEWLETT NY     521838  04/24",-29.42,DEBIT_CARD,448.19,,
DEBIT,04/24/2026,"ORIG CO NAME:ADP PAYROLL FEES       ORIG ID:9659605001 DESC DATE:260424 CO ENTRY DESCR:ADP FEES  SEC:CCD    TRACE#:021000025614332 EED:260424   IND ID:932440882495                 IND NAME:718483729MAJOR APPLIAN                                                                                       550374703 TRN: 1145614332TC",-148.66,ACH_DEBIT,477.61,,
DEBIT,04/24/2026,"ORIG CO NAME:ADP PAYROLL FEES       ORIG ID:9659605001 DESC DATE:260424 CO ENTRY DESCR:ADP FEES  SEC:CCD    TRACE#:021000025609531 EED:260424   IND ID:932440882494                 IND NAME:718483414MAJOR APPLIAN                                                                                       550374703 TRN: 1145609531TC",-148.66,ACH_DEBIT,626.27,,
DEBIT,04/24/2026,"Zelle payment to Cristie JPM99cecqb0q",-503.63,CHASE_TO_PARTNERFI,774.93,,
DEBIT,04/24/2026,"Zelle payment to Josh Perez JPM99cecq7ph",-619.57,CHASE_TO_PARTNERFI,1278.56,,
DEBIT,04/24/2026,"Zelle payment to Rudy JPM99cecpmo9",-827.27,CHASE_TO_PARTNERFI,1898.13,,
DEBIT,04/24/2026,"Zelle payment to William  Franklin JPM99cecpm25",-729.56,CHASE_TO_PARTNERFI,2725.40,,
DEBIT,04/24/2026,"EBAY O*25-14525-06280 SAN JOSE CA    142300  04/24",-68.29,DEBIT_CARD,3454.96,,
DEBIT,04/24/2026,"ORIG CO NAME:Roe Oil Company        ORIG ID:1208731395 DESC DATE:       CO ENTRY DESCR:ACH CollecSEC:CCD    TRACE#:121137721869923 EED:260424   IND ID:1258                         IND NAME:Major Appliance TRN: 1141869923TC",-160.20,ACH_DEBIT,3523.25,,
DEBIT,04/24/2026,"ORIG CO NAME:SBA EIDL LOAN          ORIG ID:7300000118 DESC DATE:260423 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:041036047791072 EED:260424   IND ID:0000                         IND NAME:PAUL SHANET                3231077201                                                                        ACH TRANSACTION TRN: 1147791072TC",-247.00,ACH_DEBIT,3683.45,,
CREDIT,04/24/2026,"ORIG CO NAME:SERVICEPOWER           ORIG ID:7522160760 DESC DATE:042326 CO ENTRY DESCR:I600041626SEC:PPD    TRACE#:091000017668174 EED:260424   IND ID:                             IND NAME:MAJOR APPLIANCE REPAIR TRN: 1147668174TC",155.00,ACH_CREDIT,3930.45,,
CREDIT,04/24/2026,"ORIG CO NAME:PEERLESS PREMIER       ORIG ID:1370457230 DESC DATE:       CO ENTRY DESCR:VENDOR PMTSEC:CCD    TRACE#:041000120563683 EED:260424   IND ID:MAJOR APPL                   IND NAME:MAJOR APPL-NEW             108701,108712,108715,108729,108736\ TRN: 1140563683TC",740.00,ACH_CREDIT,3775.45,,
CREDIT,04/24/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042326 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071753609659 EED:260424   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1143609659TC",868.01,ACH_CREDIT,3035.45,,
CREDIT,04/24/2026,"Online Transfer from MMA ...6523 transaction#: 28949178509",2680.00,ACCT_XFER,2167.44,,
DSLIP,04/24/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,-512.56,1,
DEBIT,04/24/2026,"Afterpay 044-4123456 CA                      04/24",21.25,DEBIT_CARD,-718.33,,
CREDIT,04/24/2026,"Reversal: OVERDRAFT FEE FOR A $77.86 CARD PURC",34.00,REFUND_TRANSACTION,-739.58,,
CREDIT,04/24/2026,"Reversal: OVERDRAFT FEE FOR A $9.99 RECURRING",34.00,REFUND_TRANSACTION,-773.58,,
CREDIT,04/24/2026,"Reversal: OVERDRAFT FEE FOR A $193.58 ITEM - D",34.00,REFUND_TRANSACTION,-807.58,,
CREDIT,04/24/2026,"Reversal: OVERDRAFT FEE FOR A $316.32 ITEM - D",34.00,REFUND_TRANSACTION,-841.58,,
CREDIT,04/24/2026,"Reversal: OVERDRAFT FEE FOR A $121.61 ITEM - D",34.00,REFUND_TRANSACTION,-875.58,,
CREDIT,04/24/2026,"Reversal: AVATAR NUTRITION 631-480-1918 FL             04/22  ClaimId: 755182808980001",9.99,ATM,-909.58,,
DEBIT,04/23/2026,"OVERDRAFT FEE FOR A $77.86 CARD PURCHASE WITH PIN - DETAILS: 0287090422EBAY O*17-14528-66981 SAN JOSE CA    0############8517                                                                                           01182",-34.00,FEE_TRANSACTION,-919.57,,
DEBIT,04/23/2026,"OVERDRAFT FEE FOR A $9.99 RECURRING CARD PURCHASE - DETAILS:       0422AVATAR NUTRITION 631-480-1918 FL     0############8517                                                                                           00",-34.00,FEE_TRANSACTION,-885.57,,
DEBIT,04/23/2026,"OVERDRAFT FEE FOR A $121.61 ITEM - DETAILS: ORIG CO NAME:MACYS                  ORIG ID:CITIAUTFDR DESC DATE:260421 CO ENTRY DESCR:AUTO PYMT SEC:TEL    TRACE#:122402152049220 EED:260422   IND ID:721966357081111              IND NAME:GOLDA SHANET TRN: 1122049220TC",-34.00,FEE_TRANSACTION,-851.57,,
DEBIT,04/23/2026,"OVERDRAFT FEE FOR A $193.58 ITEM - DETAILS: ORIG CO NAME:ADP PAY-BY-PAY         ORIG ID:9555555505 DESC DATE:260422 CO ENTRY DESCR:PAY-BY-PAYSEC:CCD    TRACE#:021000027323673 EED:260422   IND ID:672075552688QM5              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       30428768",-34.00,FEE_TRANSACTION,-817.57,,
DEBIT,04/23/2026,"OVERDRAFT FEE FOR A $316.32 ITEM - DETAILS: ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:042126 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000281867315 EED:260422   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1121867315TC",-34.00,FEE_TRANSACTION,-783.57,,
DEBIT,04/23/2026,"SP+AFF * THE RUNWAY 855-423-3729 CA          04/23",-57.42,DEBIT_CARD,-749.57,,
DEBIT,04/23/2026,"Amazon.com*BS6UP7ZF1 Amzn.com/bill WA        04/23",-30.47,DEBIT_CARD,-692.15,,
DEBIT,04/23/2026,"DABBL JUSTDABBL.COM FL                       04/23",-19.99,DEBIT_CARD,-661.68,,
DEBIT,04/23/2026,"SP+AFF * PETITCLAIR 855-423-3729 CA          04/22",-94.22,DEBIT_CARD,-641.69,,
DEBIT,04/23/2026,"Afterpay 044-4123456 CA                      04/22",-21.00,DEBIT_CARD,-547.47,,
DEBIT,04/23/2026,"THE CIRCLE 732-592-5437 NJ                   04/21",-19.95,DEBIT_CARD,-526.47,,
CREDIT,04/23/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042226 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071751006051 EED:260423   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1131006051TC",123.83,ACH_CREDIT,-506.52,,
DEBIT,04/22/2026,"EBAY O*17-14528-66981 SAN JOSE CA    028709  04/22",-77.86,DEBIT_CARD,-630.35,,
DEBIT,04/22/2026,"APPLE.COM/BILL 866-712-7753 CA               04/22",-2.99,DEBIT_CARD,-552.49,,
DEBIT,04/22/2026,"AVATAR NUTRITION 631-480-1918 FL             04/22",-9.99,DEBIT_CARD,-549.50,,
DEBIT,04/22/2026,"ORIG CO NAME:MACYS                  ORIG ID:CITIAUTFDR DESC DATE:260421 CO ENTRY DESCR:AUTO PYMT SEC:TEL    TRACE#:122402152049220 EED:260422   IND ID:721966357081111              IND NAME:GOLDA SHANET TRN: 1122049220TC",-121.61,ACH_DEBIT,-539.51,,
DEBIT,04/22/2026,"ORIG CO NAME:ADP PAY-BY-PAY         ORIG ID:9555555505 DESC DATE:260422 CO ENTRY DESCR:PAY-BY-PAYSEC:CCD    TRACE#:021000027323673 EED:260422   IND ID:672075552688QM5              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       304287687 TRN: 1127323673TC",-193.58,ACH_DEBIT,-417.90,,
DEBIT,04/22/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:042126 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000281867315 EED:260422   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1121867315TC",-316.32,ACH_DEBIT,-224.32,,
DEBIT,04/22/2026,"ORIG CO NAME:CheaperTeam            ORIG ID:1204895317 DESC DATE:       CO ENTRY DESCR:Bill.com  SEC:CCD    TRACE#:021000026508328 EED:260422   IND ID:015SIPRLJNYOPUM              IND NAME:Major Appliance            CheaperTeam - Inv #1755203010676 TRN: 1126508328TC",-1800.00,ACH_DEBIT,92.00,,
DEBIT,04/22/2026,"OPTUM SPECIALTY PHAR SPECIALTY.OPT MN        04/22",-4.00,DEBIT_CARD,1892.00,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-31.95,DEBIT_CARD,1896.00,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-50.95,DEBIT_CARD,1927.95,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-22.90,DEBIT_CARD,1978.90,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-125.07,DEBIT_CARD,2001.80,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-52.95,DEBIT_CARD,2126.87,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-20.95,DEBIT_CARD,2179.82,,
DEBIT,04/22/2026,"VINOTEMP.COM 800-777-8466 FL                 04/21",-20.95,DEBIT_CARD,2200.77,,
DEBIT,04/22/2026,"OPTUM SPECIALTY PHAR SPECIALTY.OPT MN        04/22",-1.00,DEBIT_CARD,2221.72,,
DEBIT,04/22/2026,"AMAZON MKTPL*BY50C7E Amzn.com/bill WA        04/22",-47.84,DEBIT_CARD,2222.72,,
DEBIT,04/22/2026,"AMAZON MKTPL*BY18M49 Amzn.com/bill WA        04/21",-21.25,DEBIT_CARD,2270.56,,
DEBIT,04/22/2026,"SP+AFF * THE MODESTEE 855-423-3729 CA        04/21",-75.25,DEBIT_CARD,2291.81,,
DEBIT,04/22/2026,"SP+AFF * ADEE CLOTHIN 855-423-3729 CA        04/21",-66.15,DEBIT_CARD,2367.06,,
DEBIT,04/22/2026,"LEGO 185-1642103 CT                          04/22",-41.36,DEBIT_CARD,2433.21,,
DEBIT,04/22/2026,"KLARNA*LANDS  END WWW.KLARNA.CO DE           04/16",-33.70,DEBIT_CARD,2474.57,,
CREDIT,04/22/2026,"ORIG CO NAME:PCRichard PMD          ORIG ID:7010532275 DESC DATE:260422 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:051000016508232 EED:260422   IND ID:2005433                      IND NAME:majorapplian.receivabl TRN: 1126508232TC",159.00,MISC_CREDIT,2508.27,,
CREDIT,04/22/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:042126 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071754068291 EED:260422   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1124068291TC",1031.39,ACH_CREDIT,2349.27,,
CREDIT,04/22/2026,"ODP TRANSFER FROM SAVINGS ...7718",2.99,MISC_CREDIT,1317.88,,
DEBIT,04/21/2026,"Zelle payment to Mike JPM99ce0lpeb",-90.00,CHASE_TO_PARTNERFI,1314.89,,
DEBIT,04/21/2026,"KLARNA* KAREN MILLEN KLARNA.COM OH           04/21",-42.15,DEBIT_CARD,1404.89,,
DEBIT,04/21/2026,"KLARNA* ADIDAS KLARNA.COM OH                 04/21",-34.50,DEBIT_CARD,1447.04,,
DEBIT,04/21/2026,"Zelle payment to Malka JPM99cdzmuz1",-240.00,CHASE_TO_PARTNERFI,1481.54,,
DEBIT,04/21/2026,"SP+AFF * FAME CN CENT 855-423-3729 CA        04/21",-32.23,DEBIT_CARD,1721.54,,
DEBIT,04/21/2026,"Klarna*Sephora Columbus OH                   04/21",-6.08,DEBIT_CARD,1753.77,,
CREDIT,04/21/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264007841_135770625 INFO: TEXT-RmtInf-5264007841 IID: 20260421021000021P1BRJPC09770003116 RECD: 06:03:49 TRN: 0229512111GD BREF: 0b94460462156c5f",1695.00,MISC_CREDIT,1759.85,,
CHECK,04/20/2026,"CHECK 1236  04/20",-250.00,CHECK_PAID,64.85,1236,
