Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/26/2026,"Klarna*Sephora Columbus OH                   05/26",-3.78,DEBIT_CARD,1505.20,,
DEBIT,05/26/2026,"SP+AFF * THE RUNWAY 855-423-3729 CA          05/26",-57.42,DEBIT_CARD,1508.98,,
DEBIT,05/26/2026,"Amazon.com*PS39B0DN3 Amzn.com/bill WA        05/25",-13.22,DEBIT_CARD,1566.40,,
DEBIT,05/26/2026,"Amazon.com*B61Q001N3 Amzn.com/bill WA        05/26",-13.04,DEBIT_CARD,1579.62,,
DEBIT,05/26/2026,"ORIG CO NAME:SBA EIDL LOAN          ORIG ID:7300000118 DESC DATE:260522 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:041036044464142 EED:260526   IND ID:0000                         IND NAME:PAUL SHANET                3231077201                                                                        ACH TRANSACTION TRN: 1464464142TC",-247.00,ACH_DEBIT,1592.66,,
DEBIT,05/26/2026,"THE CIRCLE 732-592-5437 NJ                   05/21",-19.95,DEBIT_CARD,1839.66,,
DEBIT,05/26/2026,"BASSLINE PRODUCTIONS L 732-7193311 NJ        05/22",-14.95,DEBIT_CARD,1859.61,,
DEBIT,05/26/2026,"BONEI OLAM VZAKEINI 718-252-1212 NY          05/21",-7.25,DEBIT_CARD,1874.56,,
DEBIT,05/26/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              05/21",-21.36,DEBIT_CARD,1881.81,,
DEBIT,05/26/2026,"AMAZON MKTPL*M578C1C Amzn.com/bill WA        05/23",-13.48,DEBIT_CARD,1903.17,,
CREDIT,05/26/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:052326 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071751972012 EED:260526   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1461972012TC",150.99,ACH_CREDIT,1916.65,,
CREDIT,05/26/2026,"Zelle payment from AHARON SOFER MEMORIAL FUND INC 29353191667",250.00,QUICKPAY_CREDIT,1765.66,,
CREDIT,05/26/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:052226 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071753893469 EED:260526   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1463893469TC",1211.04,ACH_CREDIT,1515.66,,
DSLIP,05/26/2026,"REMOTE ONLINE DEPOSIT #          1",185.00,CHECK_DEPOSIT,304.62,1,
DSLIP,05/26/2026,"REMOTE ONLINE DEPOSIT #          1",249.00,CHECK_DEPOSIT,119.62,1,
DSLIP,05/26/2026,"REMOTE ONLINE DEPOSIT #          1",280.00,CHECK_DEPOSIT,-129.38,1,
DEBIT,05/26/2026,"Klarna* adidas US 151-7426184 DE             05/25",13.13,DEBIT_CARD,-409.38,,
DEBIT,05/22/2026,"ORIG CO NAME:MACYS                  ORIG ID:CITIAUTFDR DESC DATE:260521 CO ENTRY DESCR:AUTO PYMT SEC:TEL    TRACE#:122402158028696 EED:260522   IND ID:721993141080733              IND NAME:GOLDA SHANET TRN: 1428028696TC",-118.16,ACH_DEBIT,-422.51,,
DEBIT,05/22/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:052126 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000288284894 EED:260522   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1428284894TC",-208.40,ACH_DEBIT,-304.35,,
DEBIT,05/22/2026,"ORIG CO NAME:Roe Oil Company        ORIG ID:1208731395 DESC DATE:       CO ENTRY DESCR:ACH CollecSEC:CCD    TRACE#:121137729199111 EED:260522   IND ID:1258                         IND NAME:Major Appliance TRN: 1429199111TC",-222.55,ACH_DEBIT,-95.95,,
DEBIT,05/22/2026,"ORIG CO NAME:CheaperTeam            ORIG ID:1204895317 DESC DATE:       CO ENTRY DESCR:Bill.com  SEC:CCD    TRACE#:021000029348956 EED:260522   IND ID:016CDOBEW10D8PY              IND NAME:Major Appliance            CheaperTeam - Inv #1776026272232 TRN: 1429348956TC",-1800.00,ACH_DEBIT,126.60,,
DEBIT,05/22/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              05/20",-235.96,DEBIT_CARD,1926.60,,
CREDIT,05/22/2026,"ORIG CO NAME:PEERLESS PREMIER       ORIG ID:1370457230 DESC DATE:       CO ENTRY DESCR:VENDOR PMTSEC:CCD    TRACE#:041000126508463 EED:260522   IND ID:MAJOR APPL                   IND NAME:MAJOR APPL-NEW             109065\ TRN: 1426508463TC",140.00,ACH_CREDIT,2162.56,,
CREDIT,05/22/2026,"ORIG CO NAME:SERVICEPOWER           ORIG ID:7522160760 DESC DATE:052126 CO ENTRY DESCR:I600051426SEC:PPD    TRACE#:091000017894192 EED:260522   IND ID:                             IND NAME:MAJOR APPLIANCE REPAIR TRN: 1427894192TC",310.00,ACH_CREDIT,2022.56,,
CREDIT,05/22/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:052126 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071753051076 EED:260522   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1423051076TC",503.75,ACH_CREDIT,1712.56,,
DEBIT,05/21/2026,"SUNOCO 0262833700 ROCKAWAY PAR NY    210500  05/21",-44.86,DEBIT_CARD,1208.81,,
DEBIT,05/21/2026,"Zelle payment to Veronica JPM99chtvlta",-100.00,CHASE_TO_PARTNERFI,1253.67,,
DEBIT,05/21/2026,"Zelle payment to William  Franklin JPM99chsesz6",-870.29,CHASE_TO_PARTNERFI,1353.67,,
DEBIT,05/21/2026,"Zelle payment to Josh Perez JPM99chseeai",-818.54,CHASE_TO_PARTNERFI,2223.96,,
DEBIT,05/21/2026,"Zelle payment to Rudy JPM99chse3od",-722.42,CHASE_TO_PARTNERFI,3042.50,,
DEBIT,05/21/2026,"Zelle payment to Cristie JPM99chse30h",-483.93,CHASE_TO_PARTNERFI,3764.92,,
DEBIT,05/21/2026,"AMAZON MKTPL*OI1PD92 Amzn.com/bill WA        05/21",-8.26,DEBIT_CARD,4248.85,,
DEBIT,05/21/2026,"Amazon.com*1U1DI7SC3 Amzn.com/bill WA        05/21",-44.43,DEBIT_CARD,4257.11,,
DEBIT,05/21/2026,"IC* INSTACART INSTACART.COM CA               05/20",-29.15,DEBIT_CARD,4301.54,,
DEBIT,05/21/2026,"Amazon.com*PD5XY2C43 Amzn.com/bill WA        05/20",-16.28,DEBIT_CARD,4330.69,,
DEBIT,05/21/2026,"GOURMET GLATT - CEDARHU CEDARHURST NY        05/19",-95.54,DEBIT_CARD,4346.97,,
DEBIT,05/21/2026,"PAYPAL *HM 855-466-7467 NJ                   05/20",-38.95,DEBIT_CARD,4442.51,,
DEBIT,05/21/2026,"PAYPAL *LIFEEAS8QRY 13802247190              05/18",-50.00,DEBIT_CARD,4481.46,,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",71.13,CHECK_DEPOSIT,4531.46,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",80.21,CHECK_DEPOSIT,4460.33,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",101.83,CHECK_DEPOSIT,4380.12,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",101.83,CHECK_DEPOSIT,4278.29,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",114.83,CHECK_DEPOSIT,4176.46,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",114.83,CHECK_DEPOSIT,4061.63,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",151.34,CHECK_DEPOSIT,3946.80,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,3795.46,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,3611.46,1,
DSLIP,05/21/2026,"REMOTE ONLINE DEPOSIT #          1",805.68,CHECK_DEPOSIT,3427.46,1,
CREDIT,05/21/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264011383_138362677 INFO: TEXT-RmtInf-5264011383 IID: 20260521021000021P1BRJPC01910000211 RECD: 06:04:43 TRN: 3001872140GA BREF: 0bbae5e8301e1f35",705.00,MISC_CREDIT,2621.78,,
DEBIT,05/21/2026,"AMAZON MKTPLACE PMTS Amzn.com/bill WA        05/21",25.92,DEBIT_CARD,1916.78,,
DEBIT,05/20/2026,"Zelle payment to Shlomo Perkal JPM99chr7lcw",-130.00,CHASE_TO_PARTNERFI,1890.86,,
CHECK,05/20/2026,"CHECK 1216  ",-608.68,CHECK_PAID,2020.86,1216,
DEBIT,05/20/2026,"Afterpay 044-4123456 CA                      05/20",-21.00,DEBIT_CARD,2629.54,,
DEBIT,05/20/2026,"ORIG CO NAME:LIPA                   ORIG ID:1563585001 DESC DATE:260518 CO ENTRY DESCR:ONLINE PAYSEC:WEB    TRACE#:021000029567171 EED:260520   IND ID:0773401685                   IND NAME:GOLDA SHANET TRN: 1409567171TC",-405.81,ACH_DEBIT,2650.54,,
DEBIT,05/20/2026,"SP+AFF* FAME CN CENTRA AFFIRM.COM CA         05/19",-64.89,DEBIT_CARD,3056.35,,
DEBIT,05/20/2026,"CEDARHURST-PARKING CEDARHURST NY             05/19",-1.00,DEBIT_CARD,3121.24,,
DEBIT,05/20/2026,"HACHNOSAS KAYLA FUND 347-752-2930 NY         05/19",-50.00,DEBIT_CARD,3122.24,,
DEBIT,05/20/2026,"SP PARTS OF AMERICA PARTSOFAMERIC CO         05/19",-87.02,DEBIT_CARD,3172.24,,
DEBIT,05/20/2026,"KHAL CHASSIDIM OF BAYSW QUEENS NY            05/19",-100.00,DEBIT_CARD,3259.26,,
CREDIT,05/20/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051926 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071757157347 EED:260520   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1407157347TC",75.66,ACH_CREDIT,3359.26,,
DEBIT,05/19/2026,"Zelle payment to Mike JPM99chlqu22",-90.00,CHASE_TO_PARTNERFI,3283.60,,
DEBIT,05/19/2026,"SP+AFF * PETITCLAIR 855-423-3729 CA          05/19",-94.22,DEBIT_CARD,3373.60,,
DEBIT,05/19/2026,"ORIG CO NAME:NYC FINANCE            ORIG ID:1136400434 DESC DATE:       CO ENTRY DESCR:PARKING TKSEC:WEB    TRACE#:028000083636519 EED:260519   IND ID:C     526369910              IND NAME:GOLDA SIEGEL TRN: 1393636519TC",-75.00,ACH_DEBIT,3467.82,,
DEBIT,05/19/2026,"ORIG CO NAME:NYC FINANCE            ORIG ID:1136400434 DESC DATE:       CO ENTRY DESCR:PARKING TKSEC:WEB    TRACE#:028000083636518 EED:260519   IND ID:C     526369516              IND NAME:GOLDA SIEGEL TRN: 1393636518TC",-75.04,ACH_DEBIT,3542.82,,
DEBIT,05/19/2026,"ORIG CO NAME:ADP PAY-BY-PAY         ORIG ID:9555555505 DESC DATE:260519 CO ENTRY DESCR:PAY-BY-PAYSEC:CCD    TRACE#:021000021017946 EED:260519   IND ID:942238829900QM5              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       304287687 TRN: 1391017946TC",-218.35,ACH_DEBIT,3617.86,,
DEBIT,05/19/2026,"AMAZON MKTPL*V302293 Amzn.com/bill WA        05/19",-21.60,DEBIT_CARD,3836.21,,
DEBIT,05/19/2026,"IC* INSTACART INSTACART.COM CA               05/18",-50.81,DEBIT_CARD,3857.81,,
DEBIT,05/19/2026,"AMAZON MKTPL*DZ61D7D Amzn.com/bill WA        05/19",-50.00,DEBIT_CARD,3908.62,,
DEBIT,05/19/2026,"Amazon.com*378AA2VI3 Amzn.com/bill WA        05/19",-36.46,DEBIT_CARD,3958.62,,
DEBIT,05/19/2026,"PAYPAL * BYAM PTA 718-868-3232 NY            05/19",-15.00,DEBIT_CARD,3995.08,,
DEBIT,05/19/2026,"AMAZON MKTPL*BR2M110 Amzn.com/bill WA        05/19",-131.89,DEBIT_CARD,4010.08,,
DEBIT,05/19/2026,"AMAZON MKTPL*Q96VT0W Amzn.com/bill WA        05/18",-41.72,DEBIT_CARD,4141.97,,
DEBIT,05/19/2026,"BINGO WHOLESALE FIVE TO INWOOD NY            05/17",-432.91,DEBIT_CARD,4183.69,,
DEBIT,05/19/2026,"BINGO WHOLESALE FIVE TO INWOOD NY            05/17",-332.09,DEBIT_CARD,4616.60,,
DSLIP,05/19/2026,"REMOTE ONLINE DEPOSIT #          1",185.00,CHECK_DEPOSIT,4948.69,1,
DEBIT,05/18/2026,"LOWE'S #2664 WOODMERE NY             958872  05/18",-74.00,DEBIT_CARD,4763.69,,
DEBIT,05/18/2026,"ATM WITHDRAWAL                       005374  05/18335 ROCKA",-80.00,ATM,4837.69,,
DEBIT,05/18/2026,"ATM WITHDRAWAL                       005372  05/18335 ROCKA",-20.00,ATM,4917.69,,
DEBIT,05/18/2026,"Zelle payment to Zlata JPM99chh6vxg",-100.00,CHASE_TO_PARTNERFI,4937.69,,
CHECK,05/18/2026,"CHECK 1229  ",-350.00,CHECK_PAID,5037.69,1229,
DEBIT,05/18/2026,"SP+AFF * YOUNG TIMERS 855-423-3729 CA        05/18",-35.24,DEBIT_CARD,5387.69,,
DEBIT,05/18/2026,"SP+AFF * ADEE CLOTHIN 855-423-3729 CA        05/18",-66.15,DEBIT_CARD,5422.93,,
DEBIT,05/18/2026,"APPLE.COM/BILL 866-712-7753 CA               05/18",-2.99,DEBIT_CARD,5489.08,,
DEBIT,05/18/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:051526 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000287090690 EED:260518   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1387090690TC",-565.94,ACH_DEBIT,5492.07,,
DEBIT,05/18/2026,"TST*SUSHI TAEEM Brooklyn NY                  05/17",-61.98,DEBIT_CARD,6058.01,,
DEBIT,05/18/2026,"TST* CAFE ROSE BROOKLYN BROOKLYN NY          05/18",-55.03,DEBIT_CARD,6119.99,,
DEBIT,05/18/2026,"Zelle payment to Rachamim Haircut Alex JPM99cheogw0",-120.00,CHASE_TO_PARTNERFI,6175.02,,
DEBIT,05/18/2026,"AMAZON MKTPL*6Y8Q10E Amzn.com/bill WA        05/18",-29.40,DEBIT_CARD,6295.02,,
DEBIT,05/18/2026,"AMAZON MKTPL*9K7B130 Amzn.com/bill WA        05/18",-65.01,DEBIT_CARD,6324.42,,
DEBIT,05/18/2026,"Amazon.com*BF0QC9G50 Amzn.com/bill WA        05/17",-13.05,DEBIT_CARD,6389.43,,
DEBIT,05/18/2026,"AMAZON MKTPL*BF2GT1G Amzn.com/bill WA        05/17",-200.56,DEBIT_CARD,6402.48,,
DEBIT,05/18/2026,"Klarna* adidas 151-7426184 DE                05/17",-14.35,DEBIT_CARD,6603.04,,
DEBIT,05/18/2026,"Klarna*Old Navy Columbus OH                  05/16",-51.44,DEBIT_CARD,6617.39,,
DEBIT,05/18/2026,"ORIG CO NAME:NEW YORK LIFE          ORIG ID:1135582869 DESC DATE:MAY 26 CO ENTRY DESCR:INS. PREM.SEC:WEB    TRACE#:021000025260670 EED:260518   IND ID:14 498 036                   IND NAME:GOLDA SIEGEL-SHANET                                                                                          U.S. TRN: 1385260670TC",-31.93,ACH_DEBIT,6668.83,,
DEBIT,05/18/2026,"ORIG CO NAME:NEW YORK LIFE          ORIG ID:1135582869 DESC DATE:MAY 26 CO ENTRY DESCR:INS. PREM.SEC:WEB    TRACE#:021000025260671 EED:260518   IND ID:14 498 036                   IND NAME:GOLDA SIEGEL-SHANET                                                                                          U.S. TRN: 1385260671TC",-137.34,ACH_DEBIT,6700.76,,
